,name,story
-1,name,Note content
note_0_E_A,Roaming Diary 1-A,A diary: Feeling inadequate. This trip is still far away. Try to go to a more distant galaxy. Look at what you can find.
note_0_E_B,Roaming Diary 1-B,A diary: The initial experience of the transition engine's capabilities\Before returning. Then think about going further.
note_0_E_C,Roaming Diary 1-C,A diary: The transition engine seems to have fixed the fault. What about trying to go to some of the more distant galaxies?
note_1_E_A,Pirate Notes 1-A,"Notes: Teamwork is the Survival Principle for the Pirates of the World \Whatever you do, you must not harm the interests of your peers."
note_1_E_B,Pirate Notes 1-B,Notes: It is too valuable to explore and discover treasures instead of snatching other people’s treasures.
note_1_E_C,Pirate Notes 1-C,"Notes: Gold coins, energy, and airplanes can't be kept. The most valuable thing is now new information and data. That is, galaxies that carry a lot of information."
note_2_E_A,Star Alliance Information 1-A,"Star Alliance data: The Star Alliance, established in 21xx, aims only to accommodate those displaced people who have suffered from disaster planets."
note_2_E_B,Star Alliance Data 1-B,"Star Alliance data: In 21xx, there were disasters in many galaxies in the universe, and they were attacked by unknown extraterrestrial organizations at the same time."
note_2_E_C,Star Alliance Data 1-C,Star Alliance data: The essence of the Star Alliance is an asylum. It was established after a major disaster and has now become a neutral organization.
note_3_E_A,Incomplete information 1-A,Fragmentation: In 21xx my planet was destroyed and I was forced to flee from my home.
note_3_E_B,Incomplete information 1-B,Fragmentation: Starcom rejected my joining because it exceeded its personnel limit.
note_3_E_C,Incomplete data 1-C,"Data fragmentation: The role of the time machine is to transmit people's memories as radio waves to the past, but this is risky."
note_4_E_A,Chip 1-A,"Chip data: Energy stone is a wonderful material. Most planets exist. It can provide incredible amounts of energy. With current technology, it cannot be parsed."
note_4_E_B,Chip 1-B,Chip data: The existence of 3D printing technology can greatly increase the manufacturing speed of spacecraft. This is something that could not have happened hundreds of years ago.
note_4_E_C,Chip 1-C,"Chip data: Negation, artificial intelligence does not have its own ideas, robots only act according to the instructions set initially."
note_5_E_A,Mystery Notes 1-A,Mysterious notes: This world has a secret \ But people in the world don't know the answer \ They just act according to their understanding of the concept.
note_5_E_B,Mystery Notes 1-B,Mysterious notes: So I must arouse turmoil to make people realize that a certain point \ This universe is a fake \ time and space shuttle is impossible.
note_5_E_C,Mystery notes 1-C,Mysterious notes: No one will know why \ I would choose this path \ I have mounted detonation devices on several of Starcraft’s key engines.
note_6_E_A,Final note 1-A,The last note: There is a message that cares about the spaceships. It seems to be a batch.
note_6_E_B,Final note 1-B,The last note: There is a message that cares about the spaceships. It seems to be a batch.
note_6_E_C,Final note 1-C,The last note: There is a message that cares about the spaceships. It seems to be a batch.
note_7_E_A,Lord Report 1-A,Content of the report: Infected people will appear on high-risk planets. Many dangerous enemies will appear on high-risk planets.
note_7_E_B,Lord Report 1-B,"Content of the report: On some planets, automatic laser weapons are also used to shoot down alien ships. However, these technologies are obviously man-made."
note_7_E_C,Lord Report 1-C,"Content of the report: On some planets, automatic laser weapons are also used to shoot down alien ships. However, these technologies are obviously man-made."
note_0_N_A,Roaming Diary 2-A,"A diary: Is this an illusion? I feel trapped in a cycle. Although I arrived at the finish line, I always felt a little worse."
note_0_N_B,Roaming Diary 2-B,A diary: Is there an end to the endless universe? Can I find the answer?
note_0_N_C,Roaming Diary 2-C,A diary: The data on my spacecraft's remnants seems to be about the time machine\ but I don't know why I have this information.
note_1_N_A,Pirate Notes 2-A,Notes: It is really difficult to find other ships in the universe. When the pirates of the universe for so long did not understand what they were looking for.
note_1_N_B,Pirate Notes 2-B,Note content: The pirates of the universe are never afraid of death. It is not so much to explore treasures and wealth as to explore new possibilities. Pirates must be adventurous.
note_1_N_C,Pirate Notes 2-C,Note content: We store the data we explored\stored in galaxies\so that it has value. It is an important currency for exchange of resources between humans.
note_2_N_A,Star Alliance Document 2-A,Star Alliance data: The Star Alliance has no affiliated planet. It is an independent organization and its members are located in the same huge ship.
note_2_N_B,Star Alliance Document 2-B,"Star Alliance data: Star Alliance ships, originally as a rafting shelter, can provide basic living guarantees for 10,000 or so people, it has the most advanced technology at that time."
note_2_N_C,Star Alliance Document 2-C,"Star Alliance data: As the Star Alliance ships have exceeded the maximum environmental capacity, the access mechanism is now very strict, and only people with a large amount of information technology can stay."
note_3_N_A,Incomplete information 2-A,"Data fragmentation: Memory is transmitted as a radio wave and some information is lost, so there will be memory loss."
